layer,n_pairs,edges_close,edges_separated,density_close,density_separated,density_difference,ci_low,ci_high,persistent,lost,gained,absent_in_both,odds_loss_vs_gain,odds_ci_low,odds_ci_high,mcnemar_chi2,p_mcnemar,p_exact_binomial,p_paired_dyad_permutation,n_permutations,n_bootstrap,entries_differing_from_main_layer,seed
IG,3540,785,261,0.22175141242937854,0.07372881355932204,0.1480225988700565,0.13587570621468928,0.16016949152542373,249,536,12,2743,44.666666666666664,25.20709964684522,79.14877709307615,501.05109489051097,5.6140171936206615e-111,3.0112205848887994e-141,9.999000099990002e-05,10000,10000,650,20260522
CS,3540,144,133,0.04067796610169491,0.037570621468926556,0.0031073446327683617,-0.0039548022598870055,0.010169491525423728,59,85,74,3322,1.1486486486486487,0.8411067474035611,1.5686400354238565,0.7610062893081762,0.3830137903609616,0.42783981112503305,0.43315668433156684,10000,10000,291,20260522
