embedding,component,dip,pvalue,seed
4D_codebase_embedding,PC1,0.04410536455625866,0.5309601376802453,20260522
4D_codebase_embedding,PC2,0.02912561117635879,0.9879868168858137,20260522
12D_outdegree_profile,PC1,0.031157014300794723,0.9669533145704244,20260522
12D_outdegree_profile,PC2,0.04380387148126634,0.5438036410360867,20260522
