embedding,covariance,k_bic,k_icl,k_cv,k_gmm_silhouette,best_gmm_silhouette,dip_pc1_p,dip_pc2_p
4D_codebase_embedding,full,4,4,1,3,0.4956387834561656,0.5309601376802453,0.9879868168858137
4D_codebase_embedding,diag,8,8,2,4,0.47812815597234876,0.5309601376802453,0.9879868168858137
4D_codebase_embedding,spherical,7,7,2,2,0.4360142777425749,0.5309601376802453,0.9879868168858137
12D_outdegree_profile,full,5,5,1,2,0.3507348412566085,0.9669533145704244,0.5438036410360867
12D_outdegree_profile,diag,7,7,3,2,0.2389541423546086,0.9669533145704244,0.5438036410360867
12D_outdegree_profile,spherical,7,7,2,2,0.3435247994963906,0.9669533145704244,0.5438036410360867
