component,variance_explained,cumulative_variance
PC1,0.5296674573230983,0.5296674573230983
PC2,0.2385483887217784,0.7682158460448767
PC3,0.16091595831069128,0.929131804355568
PC4,0.0708681956444322,1.0000000000000002
