layer1,layer2,J_obs,J_null_mean,J_null_sd,z,p_raw,n_null_draws,methodological_confound,seed,p_fdr_bh,significant_bh,p_fdr_by,significant_by
CCAM,CCVM,0.33584905660377357,0.12922472442227234,0.012759239538226613,16.194094605909374,9.999000099990002e-05,10000,True,20260522,0.0009427628665704858,True,0.004501152517033517,True
CCAM,CMP,0.12074303405572756,0.05303282592129399,0.008809902181598413,7.685693522893197,9.999000099990002e-05,10000,False,20260522,0.0009427628665704858,True,0.004501152517033517,True
CCAM,CS,0.045584045584045586,0.02262436200781558,0.0059517840356426484,3.8576136900691353,0.0005999400059994001,10000,False,20260522,0.00395960403959604,True,0.018904840571540772,True
CCAM,IG,0.034523809523809526,0.030718031328889856,0.0038270031982068943,0.9944538840999221,0.3424657534246575,10000,False,20260522,0.6625390092569691,False,1.0,False
CCAM,IC,0.02336448598130841,0.01444250947022011,0.0061345897656474085,1.454372150693719,0.23727627237276272,10000,False,20260522,0.590274305902743,False,1.0,False
CCAM,RP,0.024896265560165973,0.025129072943444394,0.005956556934591875,-0.03908422026933454,1.0,10000,False,20260522,1.0,False,1.0,False
CCAM,IRP,0.0,0.001708586146322936,0.0036431783671397595,-0.4689822935198032,1.0,10000,False,20260522,1.0,False,1.0,False
CCAM,IAC_RAC,0.03411513859275053,0.02848427422144395,0.005986309702477238,0.9406236314463372,0.36546345365463456,10000,False,20260522,0.6625390092569691,False,1.0,False
CCAM,IAC_RDE,0.011976047904191617,0.009037502215763793,0.004908762874905648,0.5986326419330872,1.0,10000,False,20260522,1.0,False,1.0,False
CCAM,IRAC,0.01927710843373494,0.02191773912674815,0.005872592632297963,-0.44965330618887495,0.6841315868413159,10000,False,20260522,0.8886265219631884,False,1.0,False
CCAM,RAC,0.03852889667250438,0.03782233586564464,0.001785121811219056,0.3958053744115264,0.7346265373462654,10000,False,20260522,0.9148179521670475,False,1.0,False
CCVM,CMP,0.10822510822510822,0.047332795001907964,0.00739584197091767,8.233317242667475,9.999000099990002e-05,10000,False,20260522,0.0009427628665704858,True,0.004501152517033517,True
CCVM,CS,0.061601642710472276,0.025374984487546735,0.0056530339579195345,6.408356732436454,9.999000099990002e-05,10000,False,20260522,0.0009427628665704858,True,0.004501152517033517,True
CCVM,IG,0.06589958158995816,0.06111049371801906,0.005091879815839471,0.9405343498174358,0.38146185381461856,10000,False,20260522,0.6625390092569691,False,1.0,False
CCVM,IC,0.03943661971830986,0.027427935914384704,0.006284084618931571,1.910967870761564,0.06979302069793021,10000,False,20260522,0.31148885111488855,False,1.0,False
CCVM,RP,0.023195876288659795,0.024736631381649766,0.005605285331152721,-0.27487540811292055,0.8192180781921807,10000,False,20260522,1.0,False,1.0,False
CCVM,IRP,0.0,0.00456659360671212,0.003528539075703876,-1.294188191978906,0.32486751324867513,10000,False,20260522,0.6625390092569691,False,1.0,False
CCVM,IAC_RAC,0.03927986906710311,0.042778292664213804,0.006499830604825645,-0.538233041721637,0.6034396560343965,10000,False,20260522,0.8297295270472952,False,1.0,False
CCVM,IAC_RDE,0.03908794788273615,0.029419940288162808,0.005312186756122679,1.8199675648508153,0.11138886111388861,10000,False,20260522,0.37682231776822317,False,1.0,False
CCVM,IRAC,0.03804347826086957,0.03710623295697229,0.0064794442720149305,0.14464902614338265,1.0,10000,False,20260522,1.0,False,1.0,False
CCVM,RAC,0.05237315875613748,0.05428698107770913,0.00232553037670341,-0.8229616524229686,0.46125387461253875,10000,False,20260522,0.7520028484956383,False,1.0,False
CMP,CS,0.11464968152866242,0.08104580738087164,0.009122624869385516,3.683575136423897,0.0005999400059994001,10000,False,20260522,0.00395960403959604,True,0.018904840571540772,True
CMP,IG,0.07539267015706806,0.07009113036245383,0.005714850404175774,0.9276777902603464,0.37706229377062295,10000,False,20260522,0.6625390092569691,False,1.0,False
CMP,IC,0.03856749311294766,0.03460269374980006,0.007437696087343384,0.5330682131385336,0.6941305869413059,10000,False,20260522,0.8886265219631884,False,1.0,False
