embedding,k,bic,aic,silhouette,seed
4D_codebase_embedding,1,678.5722313907481,649.2514075196387,,20260522
4D_codebase_embedding,2,650.4554652418224,589.7194729373814,0.5541914344805932,20260522
4D_codebase_embedding,3,596.5986599019266,504.4474991641541,0.22592219364314312,20260522
4D_codebase_embedding,4,570.703737312399,447.137408141295,0.2624233762567434,20260522
4D_codebase_embedding,5,569.1135665617635,414.132068957328,0.27648819876268516,20260522
4D_codebase_embedding,6,585.0185458389217,398.6218798011548,0.25414309745553954,20260522
4D_codebase_embedding,7,567.5382427877403,349.7264083166419,0.24306853917693585,20260522
4D_codebase_embedding,8,539.7435393483064,290.5165364438765,0.24274859935616047,20260522
12D_outdegree_profile,1,2111.8654558228095,1923.3744452228204,,20260522
12D_outdegree_profile,2,1698.9444161655138,1319.8680504033136,0.44475818442069065,20260522
12D_outdegree_profile,3,1398.339299148031,828.6775782236195,0.3894023490483464,20260522
12D_outdegree_profile,4,1151.4598047032805,391.21272861665796,0.26339913855646985,20260522
12D_outdegree_profile,5,954.3823650622791,3.5499338134453637,0.1556377157040206,20260522
12D_outdegree_profile,6,867.7730930542623,-273.64469335678245,0.1744662948416443,20260522
12D_outdegree_profile,7,870.7777234172008,-461.2254181560552,0.14663987709034884,20260522
12D_outdegree_profile,8,664.4144736816279,-858.1740230538389,0.12183285266957013,20260522
